species,wlcent,gflog,excit,j_lo,e_upp,j_up,lande_lower,lande_upper,lande,gamrad,gamqst,gamvw,depth,reference,term_lower,term_upper,error,atom_number,ionization
V 1,4730.4081,-1.665,1.945175434415831,2.5,4.565446694482108,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.4085,-3.3760000000000003,5.373414124701322,2.0,7.993685147585829,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
V 1,4730.4098,-1.611,1.9451691077502025,2.5,4.565439415741827,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
TiO 1,4730.4101,-0.536,0.8003685058317207,99.0,3.420504184218696,100.0,99.0,99.0,99.0,7.2620000000000005,0.0,0.0,0.002,_          -0.242941          2 wl:PPN2012   2 gf:PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012    (47)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,100,1","8s2.11s1.3p4.1d1 C,3,2,0,101,4",0.5,1.0,1.0
V 1,4730.4112,-1.633,1.9451640477071352,2.5,4.565433592700009,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
TiO 1,4730.4113,-0.965,0.4512090195032102,29.0,3.071648483970827,28.0,99.0,99.0,99.0,7.314,0.0,0.0,0.002,_          0.306698           3 wl:PPN2012   3 gf:PPN2012   3 PPN2012   3 PPN2012   3 PPN2012   3 PPN2012   3 PPN2012   3 PPN2012   3 PPN2012    (46)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,30,3","8s2.11s1.3p4.1d1 C,3,2,0,29,6",0.5,1.0,1.0
Mn 2,4730.4114,-3.9619999999999997,5.373396659295393,2.0,7.993666088611011,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
TiO 1,4730.4115,-0.522,0.719639692003416,85.0,3.333760748190079,86.0,99.0,99.0,99.0,7.277,0.0,0.0,0.002,_          -11.1259           2 wl:PPN2012   2 gf:PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012    (47)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,84,2","8s2.11s1.3p4.1d1 C,3,2,0,85,5",0.5,1.0,1.0
V 1,4730.4122,-1.724,1.9451602534187404,2.5,4.565429225356652,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
V 1,4730.4129,-1.912,1.9451577242650961,2.5,4.565426313959728,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
